top
10,[1 0 0 ... 0 0 0],93.086,168
50,[1 0 0 ... 0 0 0],93.086,168
100,[1 0 0 ... 0 0 0],93.086,168
150,[1 0 0 ... 0 0 0],93.086,168
200,[0 0 0 ... 0 0 0],93.416,160
250,[0 0 0 ... 0 0 0],93.416,160
300,[0 0 0 ... 0 0 0],93.416,160
350,[0 0 0 ... 0 0 0],93.416,160
400,[0 0 0 ... 0 0 0],93.416,160
450,[0 0 0 ... 0 0 0],93.416,160
500,[0 0 0 ... 0 0 0],93.416,160
mid
10,[0 0 0 ... 0 0 1],93.301,139
50,[0 0 0 ... 0 0 0],93.301,139
100,[0 0 0 ... 0 0 0],93.301,139
150,[0 0 0 ... 1 0 0],93.446,136
200,[0 0 0 ... 0 0 0],93.735,130
250,[0 0 0 ... 0 0 0],93.735,130
300,[0 0 0 ... 0 0 0],93.735,130
350,[0 0 0 ... 0 0 0],93.735,130
400,[0 0 0 ... 0 0 0],93.735,130
450,[0 0 0 ... 0 0 0],93.735,130
500,[0 0 0 ... 0 0 0],93.735,130



bot
10,[0 0 0 ... 0 0 0],93.351,127
50,[0 0 0 ... 0 0 0],93.351,127
100,[0 0 0 ... 0 0 0],93.351,127
150,[0 0 0 ... 0 0 0],93.351,127
200,[0 0 0 ... 0 0 0],93.403,126
250,[0 0 1 ... 0 0 0],93.455,125
300,[0 0 1 ... 0 0 0],93.455,125
350,[0 0 1 ... 0 0 0],93.455,125
400,[0 0 1 ... 0 0 0],93.455,125
450,[0 0 0 ... 0 0 0],93.56,123
500,[0 0 0 ... 0 0 0],93.56,123
